Cushing OK WTI Spot Price FOB Daily,
9/9/2016,45.88
9/8/2016,47.63
9/7/2016,45.47
9/6/2016,44.85
9/5/2016,44.39
9/2/2016,44.39
9/1/2016,43.17
8/31/2016,44.68
8/30/2016,46.32
8/29/2016,46.97
8/26/2016,47.64
8/25/2016,46.97
8/24/2016,46.29
8/23/2016,47.54
8/22/2016,46.8
8/19/2016,48.48
8/18/2016,48.2
8/17/2016,46.81
8/16/2016,46.57
8/15/2016,45.72
8/12/2016,44.47
8/11/2016,43.51
8/10/2016,41.75
8/9/2016,42.78
8/8/2016,43.06
8/5/2016,41.83
8/4/2016,41.92
8/3/2016,40.8
8/2/2016,39.5
8/1/2016,40.05
7/29/2016,41.54
7/28/2016,41.13
7/27/2016,41.9
7/26/2016,42.16
7/25/2016,42.4
7/22/2016,43.41
7/21/2016,43.96
7/20/2016,44.96
7/19/2016,44.64
7/18/2016,45.23
7/15/2016,45.93
7/14/2016,45.64
7/13/2016,44.87
7/12/2016,46.82
7/11/2016,44.73
7/8/2016,45.37
7/7/2016,45.22
7/6/2016,47.37
7/5/2016,46.73
7/1/2016,49.02
6/30/2016,48.27
6/29/2016,49.85
6/28/2016,47.93
6/27/2016,45.8
6/24/2016,46.7
6/23/2016,49.34
6/22/2016,49.16
6/21/2016,48.95
6/20/2016,49.4
6/17/2016,48
6/16/2016,46.14
6/15/2016,47.92
6/14/2016,48.49
6/13/2016,48.89
6/10/2016,49.09
6/9/2016,50.52
6/8/2016,51.23
6/7/2016,50.37
6/6/2016,49.71
6/3/2016,48.69
6/2/2016,49.14
6/1/2016,49.07
5/31/2016,49.1
5/27/2016,49.36
5/26/2016,49
5/25/2016,49.1
5/24/2016,48.04
5/23/2016,48.12
5/20/2016,47.67
5/19/2016,48.16
5/18/2016,48.12
5/17/2016,48.29
5/16/2016,47.72
5/13/2016,46.22
5/12/2016,46.64
5/11/2016,46.21
5/10/2016,44.68
5/9/2016,43.45
5/6/2016,44.58
5/5/2016,44.33
5/4/2016,43.77
5/3/2016,43.65
5/2/2016,44.75
4/29/2016,45.98
4/28/2016,46.03
4/27/2016,45.29
4/26/2016,42.52
4/25/2016,41.67
4/22/2016,42.76
4/21/2016,43.18
4/20/2016,42.72
4/19/2016,40.88
4/18/2016,39.74
4/15/2016,40.4
4/14/2016,41.45
4/13/2016,41.7
4/12/2016,42.12
4/11/2016,40.46
4/8/2016,39.74
4/7/2016,37.3
4/6/2016,37.74
4/5/2016,34.52
4/4/2016,34.3
4/1/2016,35.36
3/31/2016,36.94
3/30/2016,36.91
3/29/2016,36.91
3/28/2016,37.99
3/24/2016,38.14
3/23/2016,38.28
3/22/2016,41.45
3/21/2016,39.91
3/18/2016,39.47
3/17/2016,40.17
3/16/2016,38.43
3/15/2016,36.32
3/14/2016,37.2
3/11/2016,38.51
3/10/2016,37.77
3/9/2016,37.62
3/8/2016,36.67
3/7/2016,37.9
3/4/2016,35.91
3/3/2016,34.56
3/2/2016,34.57
3/1/2016,34.39
2/29/2016,32.74
2/26/2016,31.65
2/25/2016,31.4
2/24/2016,30.35
2/23/2016,31.84
2/22/2016,31.37
2/19/2016,29.59
2/18/2016,30.77
2/17/2016,30.68
2/16/2016,29.05
2/12/2016,29.32
2/11/2016,26.19
2/10/2016,27.54
2/9/2016,27.96
2/8/2016,29.71
2/5/2016,30.86
2/4/2016,31.63
2/3/2016,32.29
2/2/2016,29.9
2/1/2016,31.62
1/29/2016,33.66
1/28/2016,33.21
1/27/2016,32.32
1/26/2016,29.54
1/25/2016,30.31
1/22/2016,32.07
1/21/2016,29.55
1/20/2016,26.68
1/19/2016,28.47
1/15/2016,29.45
1/14/2016,31.22
1/13/2016,30.42
1/12/2016,30.42
1/11/2016,31.42
1/8/2016,33.2
1/7/2016,33.29
1/6/2016,33.97
1/5/2016,35.97
1/4/2016,36.81
1/1/2016,37.13
12/31/2015,37.13
12/30/2015,36.59
12/29/2015,37.88
12/28/2015,36.36
12/25/2015,37.6
12/24/2015,37.62
12/23/2015,36.76
12/22/2015,36.12
12/21/2015,34.55
12/18/2015,34.72
12/17/2015,34.98
12/16/2015,35.55
12/15/2015,37.32
12/14/2015,36.31
12/11/2015,35.65
12/10/2015,36.76
12/9/2015,37.16
12/8/2015,37.46
12/7/2015,37.64
12/4/2015,40
12/3/2015,41.08
12/2/2015,39.93
12/1/2015,40.58
11/30/2015,40.43
11/27/2015,40.57
11/26/2015,41.22
11/25/2015,41.22
11/24/2015,40.89
11/23/2015,39.27
11/20/2015,39.39
11/19/2015,40.55
11/18/2015,40.75
11/17/2015,40.73
11/16/2015,41.68
11/13/2015,40.69
11/12/2015,41.74
11/11/2015,42.95
11/10/2015,44.23
11/9/2015,43.87
11/6/2015,44.32
11/5/2015,45.27
11/4/2015,46.32
11/3/2015,47.88
11/2/2015,46.12
10/30/2015,46.6
10/29/2015,46.02
10/28/2015,45.93
10/27/2015,43.21
10/26/2015,43.19
10/23/2015,43.91
10/22/2015,44.9
10/21/2015,45.22
10/20/2015,45.84
10/19/2015,45.91
10/16/2015,47.3
10/15/2015,46.38
10/14/2015,46.63
10/13/2015,46.7
10/12/2015,47.09
10/9/2015,49.67
10/8/2015,49.46
10/7/2015,47.86
10/6/2015,48.53
10/5/2015,46.28
10/2/2015,45.54
10/1/2015,44.75
9/30/2015,45.06
9/29/2015,45.24
9/28/2015,44.4
9/25/2015,45.55
9/24/2015,44.94
9/23/2015,44.53
9/22/2015,46.17
9/21/2015,46.67
9/18/2015,44.71
9/17/2015,46.93
9/16/2015,47.12
9/15/2015,44.58
9/14/2015,44.07
9/11/2015,44.75
9/10/2015,45.85
9/9/2015,44.13
9/8/2015,45.92
9/4/2015,46.02
9/3/2015,46.75
9/2/2015,46.3
9/1/2015,45.38
8/31/2015,49.2
8/28/2015,45.29
8/27/2015,42.47
8/26/2015,38.5
8/25/2015,39.15
8/24/2015,38.22
8/21/2015,40.45
8/20/2015,41
8/19/2015,40.75
8/18/2015,42.58
8/17/2015,41.93
8/14/2015,42.45
8/13/2015,42.27
8/12/2015,43.22
8/11/2015,43.11
8/10/2015,44.94
8/7/2015,43.87
8/6/2015,44.69
8/5/2015,45.13
8/4/2015,45.75
8/3/2015,45.25
7/31/2015,47.11
7/30/2015,48.53
7/29/2015,48.77
7/28/2015,47.97
7/27/2015,47.17
7/24/2015,47.98
7/23/2015,48.11
7/22/2015,49.27
7/21/2015,50.59
7/20/2015,50.11
7/17/2015,50.88
7/16/2015,50.9
7/15/2015,51.4
7/14/2015,53.05
7/13/2015,52.19
7/10/2015,52.74
7/9/2015,52.76
7/8/2015,51.61
7/7/2015,52.33
7/6/2015,52.48
7/2/2015,56.93
7/1/2015,56.94
6/30/2015,59.48
6/29/2015,58.34
6/26/2015,59.41
6/25/2015,59.59
6/24/2015,60.01
6/23/2015,61.05
6/22/2015,60.01
6/19/2015,59.62
6/18/2015,60.41
6/17/2015,59.89
6/16/2015,60.01
6/15/2015,59.53
6/12/2015,59.96
6/11/2015,60.74
6/10/2015,61.36
6/9/2015,60.15
6/8/2015,58.15
6/5/2015,59.11
6/4/2015,58
6/3/2015,59.67
6/2/2015,61.3
6/1/2015,60.24
5/29/2015,60.25
5/28/2015,57.69
5/27/2015,57.51
5/26/2015,57.29
5/22/2015,58.88
5/21/2015,60.18
5/20/2015,58.96
5/19/2015,57.3
5/18/2015,59.44
5/15/2015,59.73
5/14/2015,59.89
5/13/2015,60.5
5/12/2015,60.72
5/11/2015,59.23
5/8/2015,59.41
5/7/2015,58.99
5/6/2015,60.93
5/5/2015,60.38
5/4/2015,58.92
5/1/2015,59.1
4/30/2015,59.62
4/29/2015,58.55
4/28/2015,57.05
4/27/2015,55.56
4/24/2015,55.98
4/23/2015,56.59
4/22/2015,56.17
4/21/2015,55.58
4/20/2015,56.37
4/17/2015,55.71
4/16/2015,56.69
4/15/2015,56.25
4/14/2015,53.3
4/13/2015,51.95
4/10/2015,51.63
4/9/2015,50.79
4/8/2015,50.44
4/7/2015,53.95
4/6/2015,52.08
4/2/2015,49.13
4/1/2015,50.12
3/31/2015,47.72
3/30/2015,48.66
3/27/2015,48.83
3/26/2015,51.41
3/25/2015,48.75
3/24/2015,47.03
3/23/2015,47.4
3/20/2015,46
3/19/2015,44.02
3/18/2015,44.63
3/17/2015,43.39
3/16/2015,43.93
3/13/2015,44.88
3/12/2015,47.12
3/11/2015,48.06
3/10/2015,48.42
3/9/2015,49.95
3/6/2015,49.61
3/5/2015,50.76
3/4/2015,51.53
3/3/2015,50.43
3/2/2015,49.59
2/27/2015,49.84
2/26/2015,47.65
2/25/2015,50.25
2/24/2015,48.48
2/23/2015,49.56
2/20/2015,49.95
2/19/2015,51.12
2/18/2015,52.13
2/17/2015,53.56
2/13/2015,52.66
2/12/2015,51.17
2/11/2015,48.8
2/10/2015,50.06
2/9/2015,52.99
2/6/2015,51.66
2/5/2015,50.48
2/4/2015,48.45
2/3/2015,53.04
2/2/2015,49.25
1/30/2015,47.79
1/29/2015,44.12
1/28/2015,44.08
1/27/2015,45.84
1/26/2015,44.8
1/23/2015,45.26
1/22/2015,45.93
1/21/2015,47.85
1/20/2015,46.79
1/16/2015,48.49
1/15/2015,46.37
1/14/2015,48.49
1/13/2015,45.92
1/12/2015,46.06
1/9/2015,48.35
1/8/2015,48.8
1/7/2015,48.69
1/6/2015,47.98
1/5/2015,50.05
1/2/2015,52.72
12/31/2014,53.45
12/30/2014,54.14
12/29/2014,53.46
12/26/2014,54.59
12/24/2014,55.7
12/23/2014,56.78
12/22/2014,55.25
12/19/2014,56.91
12/18/2014,54.18
12/17/2014,56.43
12/16/2014,55.97
12/15/2014,55.96
12/12/2014,57.81
12/11/2014,60.01
12/10/2014,60.99
12/9/2014,63.74
12/8/2014,63.13
12/5/2014,65.89
12/4/2014,66.73
12/3/2014,67.3
12/2/2014,66.99
12/1/2014,68.98
11/28/2014,65.94
11/26/2014,73.7
11/25/2014,74.04
11/24/2014,75.74
11/21/2014,76.52
11/20/2014,75.63
11/19/2014,74.55
11/18/2014,74.55
11/17/2014,75.64
11/14/2014,75.91
11/13/2014,74.13
11/12/2014,77.16
11/11/2014,77.85
11/10/2014,77.43
11/7/2014,78.71
11/6/2014,77.87
11/5/2014,78.71
11/4/2014,77.15
11/3/2014,78.77
10/31/2014,80.53
10/30/2014,81.06
10/29/2014,82.25
10/28/2014,81.36
10/27/2014,81.26
10/24/2014,81.27
10/23/2014,82.81
10/22/2014,80.52
10/21/2014,83.25
10/20/2014,82.76
10/17/2014,82.8
10/16/2014,82.33
10/15/2014,81.82
10/14/2014,81.72
10/13/2014,85.73
10/10/2014,85.87
10/9/2014,85.76
10/8/2014,87.29
10/7/2014,88.89
10/6/2014,90.33
10/3/2014,89.76
9/29/2014,94.53
9/26/2014,95.55
9/25/2014,93.59
9/24/2014,93.6
9/23/2014,91.55
9/22/2014,91.46
9/19/2014,92.43
9/18/2014,93.07
9/17/2014,94.33
9/16/2014,94.91
9/15/2014,92.86
9/12/2014,92.18
9/11/2014,92.89
9/10/2014,91.71
9/9/2014,92.73
9/8/2014,92.64
9/5/2014,93.32
9/4/2014,94.51
9/3/2014,95.5
9/2/2014,92.92
8/29/2014,97.86
8/28/2014,96.44
8/27/2014,95.82
8/26/2014,95.78
8/25/2014,95.39
8/22/2014,93.61
8/21/2014,93.97
8/20/2014,96.4
8/19/2014,94.35
8/18/2014,96.44
8/15/2014,97.3
8/14/2014,95.54
8/13/2014,97.57
8/12/2014,97.36
8/11/2014,98.09
8/8/2014,97.61
8/7/2014,97.34
8/6/2014,96.93
8/5/2014,97.34
8/4/2014,98.26
8/1/2014,97.86
7/31/2014,98.23
7/30/2014,104.29
7/29/2014,104.91
7/28/2014,105.68
7/25/2014,105.23
7/24/2014,102.76
7/23/2014,103.81
7/22/2014,104.59
7/21/2014,105.34
7/18/2014,103.83
7/17/2014,103.84
7/16/2014,101.88
7/15/2014,100.56
7/14/2014,101.73
7/11/2014,101.48
7/10/2014,103.61
7/9/2014,102.93
7/8/2014,104.06
7/7/2014,104.19
7/3/2014,104.76
7/2/2014,105.18
7/1/2014,106.06
6/30/2014,106.07
6/27/2014,106.46
6/26/2014,106.49
6/25/2014,107.04
6/24/2014,106.64
6/23/2014,106.83
6/20/2014,107.95
6/19/2014,107.08
6/18/2014,106.64
6/17/2014,106.95
6/16/2014,107.52
6/13/2014,107.49
6/12/2014,107.2
6/11/2014,105.04
6/10/2014,105.02
6/9/2014,105.09
6/6/2014,103.32
6/5/2014,103.17
6/4/2014,103.27
6/3/2014,103.34
6/2/2014,103.07
5/30/2014,103.4
5/29/2014,104.26
5/28/2014,103.37
5/27/2014,104.78
5/23/2014,105.01
5/22/2014,104.03
5/21/2014,104.31
5/20/2014,102.8
5/19/2014,102.95
5/16/2014,102.31
5/15/2014,101.74
5/14/2014,102.63
5/13/2014,102.01
5/12/2014,100.89
5/9/2014,100.32
5/8/2014,100.52
5/7/2014,101.06
5/6/2014,99.81
5/5/2014,99.74
5/2/2014,100.09
5/1/2014,99.69
4/30/2014,100.07
4/29/2014,101.56
4/28/2014,101.13
4/25/2014,100.85
4/24/2014,102.2
4/23/2014,101.47
4/22/2014,101.69
4/21/2014,104.35
4/17/2014,104.33
4/16/2014,103.71
4/15/2014,103.7
4/14/2014,104.05
4/11/2014,103.68
4/10/2014,103.37
4/9/2014,103.55
4/8/2014,102.57
4/7/2014,100.43
4/4/2014,101.16
4/3/2014,100.29
4/2/2014,99.6
4/1/2014,99.69
3/31/2014,101.57
3/28/2014,101.73
3/27/2014,101.25
3/26/2014,100.61
3/25/2014,99.66
3/24/2014,100.05
3/21/2014,99.97
3/20/2014,99.68
3/19/2014,100.71
3/18/2014,100.08
3/17/2014,98.43
3/14/2014,99.23
3/13/2014,98.57
3/12/2014,98.29
3/11/2014,100.29
3/10/2014,101.39
3/7/2014,102.82
3/6/2014,101.82
3/5/2014,101.75
3/4/2014,103.64
3/3/2014,105.34
2/28/2014,102.88
2/27/2014,102.68
2/26/2014,102.93
2/25/2014,102.2
2/24/2014,103.17
2/21/2014,102.53
2/20/2014,103.2
2/19/2014,103.46
2/18/2014,102.54
2/14/2014,100.31
2/13/2014,100.27
2/12/2014,100.38
2/11/2014,99.96
2/10/2014,100.12
2/7/2014,99.98
2/6/2014,97.84
2/5/2014,97.4
2/4/2014,97.24
2/3/2014,96.44
1/31/2014,97.55
1/30/2014,98.25
1/29/2014,97.34
1/28/2014,97.49
1/27/2014,95.82
1/24/2014,96.66
1/23/2014,97.23
1/22/2014,96.35
1/21/2014,94.51
1/17/2014,93.96
1/16/2014,93.54
1/15/2014,93.78
1/14/2014,92.15
1/13/2014,91.45
1/10/2014,92.39
1/9/2014,91.36
1/8/2014,91.9
1/7/2014,93.31
1/6/2014,93.12
1/3/2014,93.66
1/2/2014,95.14
12/31/2013,98.17
12/30/2013,98.9
12/27/2013,99.94
12/26/2013,99.18
12/24/2013,98.87
12/23/2013,98.62
12/20/2013,99.11
12/19/2013,98.4
12/18/2013,97.59
12/17/2013,96.99
12/16/2013,97.18
12/13/2013,96.27
12/12/2013,97.21
12/11/2013,97.25
12/10/2013,98.32
12/9/2013,97.1
12/6/2013,97.48
12/5/2013,97.14
12/4/2013,96.97
12/3/2013,95.83
12/2/2013,93.61
11/29/2013,92.55
11/27/2013,92.05
11/26/2013,93.41
11/25/2013,93.86
11/22/2013,94.53
11/21/2013,95.35
11/20/2013,93.34
11/19/2013,93.35
11/18/2013,93.03
11/15/2013,93.8
11/14/2013,93.76
11/13/2013,93.91
11/12/2013,93.12
11/11/2013,95.13
11/8/2013,94.56
11/7/2013,94.25
11/6/2013,94.74
11/5/2013,93.4
11/4/2013,94.58
11/1/2013,94.56
10/31/2013,96.29
10/30/2013,96.81
10/29/2013,98.29
10/28/2013,98.74
10/25/2013,97.4
10/24/2013,96.65
10/23/2013,96.9
10/22/2013,97.63
10/21/2013,99.28
10/18/2013,100.87
10/17/2013,100.72
10/16/2013,102.34
10/15/2013,101.15
10/14/2013,102.46
10/11/2013,102.17
10/10/2013,103.08
10/9/2013,101.63
10/8/2013,103.54
10/7/2013,103.07
10/4/2013,103.83
10/3/2013,103.29
10/2/2013,104.15
10/1/2013,102.09
9/30/2013,102.36
9/27/2013,102.86
9/26/2013,103.1
9/25/2013,102.68
9/24/2013,103.22
9/23/2013,103.62
9/20/2013,104.7
9/19/2013,106.26
9/18/2013,108.23
9/17/2013,105.36
9/16/2013,106.54
9/13/2013,108.31
9/12/2013,108.72
9/11/2013,107.65
9/10/2013,107.48
9/9/2013,109.62
9/6/2013,110.62
9/5/2013,108.5
9/4/2013,107.29
9/3/2013,108.67
8/30/2013,107.98
8/29/2013,108.51
8/28/2013,110.17
8/27/2013,109.11
8/26/2013,105.88
8/23/2013,106.48
8/22/2013,104.93
8/21/2013,103.93
8/20/2013,104.9
8/19/2013,107.14
8/16/2013,107.58
8/15/2013,107.43
8/14/2013,106.89
8/13/2013,106.78
8/12/2013,106.19
8/9/2013,106.04
8/8/2013,103.45
8/7/2013,104.41
8/6/2013,105.32
8/5/2013,106.61
8/2/2013,106.94
8/1/2013,107.93
7/31/2013,105.1
7/30/2013,103.14
7/29/2013,104.61
7/26/2013,104.76
7/25/2013,105.47
7/24/2013,105.41
7/23/2013,107.13
7/22/2013,106.61
7/19/2013,108
7/18/2013,107.94
7/17/2013,106.39
7/16/2013,105.88
7/15/2013,106.2
7/12/2013,105.85
7/11/2013,104.77
7/10/2013,106.41
7/9/2013,103.46
7/8/2013,103.03
7/5/2013,103.09
7/3/2013,101.92
7/2/2013,99.65
7/1/2013,97.94
6/28/2013,96.36
6/27/2013,97
6/26/2013,95.47
6/25/2013,95.25
6/24/2013,95.07
6/21/2013,93.81
6/20/2013,94.89
6/19/2013,98.24
6/18/2013,98.46
6/17/2013,97.86
6/14/2013,97.83
6/13/2013,96.66
6/12/2013,95.98
6/11/2013,95.5
6/10/2013,95.82
6/7/2013,96.11
6/6/2013,94.71
6/5/2013,93.66
6/4/2013,93.36
6/3/2013,93.41
5/31/2013,91.93
5/30/2013,93.57
5/29/2013,93.13
5/28/2013,94.65
5/24/2013,93.84
5/23/2013,94.12
5/22/2013,93.98
5/21/2013,95.55
5/20/2013,96.29
5/17/2013,95.72
5/16/2013,94.85
5/15/2013,93.95
5/14/2013,93.96
5/13/2013,94.76
5/10/2013,95.81
5/9/2013,96.09
5/8/2013,96.24
5/7/2013,95.28
5/6/2013,95.8
5/3/2013,95.25
5/2/2013,93.7
5/1/2013,90.74
4/30/2013,93.22
4/29/2013,94.09
4/26/2013,92.63
4/25/2013,93.27
4/24/2013,91.07
4/23/2013,89.21
4/22/2013,88.81
4/19/2013,88.04
4/18/2013,87.83
4/17/2013,86.65
4/16/2013,88.73
4/15/2013,88.75
4/12/2013,91.23
4/11/2013,93.44
4/10/2013,94.59
4/9/2013,94.18
4/8/2013,93.36
4/5/2013,92.76
4/4/2013,93.26
4/3/2013,95.02
4/2/2013,97.23
4/1/2013,97.1
3/28/2013,97.24
3/27/2013,96.53
3/26/2013,95.99
3/25/2013,94.55
3/22/2013,93.41
3/21/2013,92.46
3/20/2013,93.21
3/19/2013,92.44
3/18/2013,93.71
3/15/2013,93.49
3/14/2013,93.03
3/13/2013,92.47
3/12/2013,92.44
3/11/2013,92.07
3/8/2013,92.01
3/7/2013,91.53
3/6/2013,90.47
3/5/2013,90.88
3/4/2013,90.13
3/1/2013,90.71
2/28/2013,92.03
2/27/2013,92.84
2/26/2013,92.63
2/25/2013,92.74
2/22/2013,93.12
2/21/2013,92.79
2/20/2013,94.92
2/19/2013,96.69
2/15/2013,95.95
2/14/2013,97.3
2/13/2013,97.03
2/12/2013,97.48
2/11/2013,97.01
2/8/2013,95.71
2/7/2013,95.84
2/6/2013,96.44
2/5/2013,96.68
2/4/2013,96.21
2/1/2013,97.46
1/31/2013,97.65
1/30/2013,97.98
1/29/2013,97.62
1/28/2013,95.95
1/25/2013,95.15
1/24/2013,95.35
1/23/2013,95.06
1/22/2013,96.09
1/18/2013,95.61
1/17/2013,95.49
1/16/2013,94.28
1/15/2013,93.26
1/14/2013,94.27
1/11/2013,93.6
1/10/2013,93.81
1/9/2013,93.08
1/8/2013,93.21
1/7/2013,93.2
1/4/2013,93.12
1/3/2013,92.97
1/2/2013,93.14
12/31/2012,91.83
12/28/2012,90.66
12/27/2012,90.91
12/26/2012,90.71
12/24/2012,88.29
12/21/2012,88.2
12/20/2012,89.76
12/19/2012,89.09
12/18/2012,87.46
12/17/2012,86.71
12/14/2012,86.32
12/13/2012,85.39
12/12/2012,86.35
12/11/2012,85.36
12/10/2012,85.14
12/7/2012,85.45
12/6/2012,85.47
12/5/2012,87.36
12/4/2012,88.04
12/3/2012,88.69
11/30/2012,88.54
11/29/2012,87.64
11/28/2012,86.1
11/27/2012,86.81
11/26/2012,87.28
11/23/2012,87.01
11/21/2012,87.08
11/20/2012,86.46
11/19/2012,89.05
11/16/2012,86.62
11/15/2012,85.45
11/14/2012,86.32
11/13/2012,85.38
11/12/2012,85.56
11/9/2012,86.08
11/8/2012,85.07
11/7/2012,84.5
11/6/2012,88.62
11/5/2012,85.64
11/2/2012,84.9
11/1/2012,87.05
10/31/2012,86.23
10/30/2012,85.65
10/29/2012,85.52
10/26/2012,85.84
10/25/2012,85.59
10/24/2012,85.39
10/23/2012,86.65
10/22/2012,88.3
10/19/2012,90
10/18/2012,92
10/17/2012,92.04
10/16/2012,92.07
10/15/2012,91.84
10/12/2012,91.83
10/11/2012,92.19
10/10/2012,91.24
10/9/2012,92.42
10/8/2012,89.43
10/5/2012,89.87
10/4/2012,91.69
10/3/2012,88.19
10/2/2012,91.88
10/1/2012,92.44
9/28/2012,92.18
9/27/2012,91.89
9/26/2012,89.92
9/25/2012,91.07
9/24/2012,91.68
9/21/2012,92.64
9/20/2012,92.14
9/19/2012,91.97
9/18/2012,95.25
9/17/2012,96.51
9/14/2012,98.94
9/13/2012,98.3
9/12/2012,97.02
9/11/2012,97.03
9/10/2012,96.52
9/7/2012,96.41
9/6/2012,95.58
9/5/2012,95.37
9/4/2012,95.34
8/31/2012,96.47
8/30/2012,94.61
8/29/2012,95.5
8/28/2012,96.3
8/27/2012,95.54
8/24/2012,95.78
8/23/2012,95.87
8/22/2012,96.89
8/21/2012,96.55
8/20/2012,96.03
8/17/2012,96
8/16/2012,95.66
8/15/2012,94.35
8/14/2012,93.4
8/13/2012,92.76
8/10/2012,92.94
8/9/2012,93.39
8/8/2012,93.39
8/7/2012,93.68
8/6/2012,92.3
8/3/2012,91.4
8/2/2012,87.22
8/1/2012,88.99
7/31/2012,88.08
7/30/2012,89.8
7/27/2012,90.13
7/26/2012,89.4
7/25/2012,88.8
7/24/2012,88.28
7/23/2012,87.77
7/20/2012,91.56
7/19/2012,92.78
7/18/2012,89.88
7/17/2012,89.07
7/16/2012,88.41
7/13/2012,87.15
7/12/2012,86.02
7/11/2012,85.88
7/10/2012,83.92
7/9/2012,85.93
7/6/2012,84.37
7/5/2012,87.11
7/3/2012,87.74
7/2/2012,83.72
6/29/2012,85.04
6/28/2012,77.72
6/27/2012,80.27
6/26/2012,79.34
6/25/2012,78.76
6/22/2012,79.33
6/21/2012,77.91
6/20/2012,81.06
6/19/2012,83.99
6/18/2012,83.26
6/15/2012,84.03
6/14/2012,83.83
6/13/2012,82.56
6/12/2012,83.35
6/11/2012,82.58
6/8/2012,84.08
6/7/2012,84.78
6/6/2012,85.05
6/5/2012,84.31
6/4/2012,83.95
6/1/2012,83.17
5/31/2012,86.52
5/30/2012,87.79
5/29/2012,90.75
5/25/2012,90.64
5/24/2012,90.36
5/23/2012,89.4
5/22/2012,91.44
5/21/2012,92.57
5/18/2012,91.51
5/17/2012,92.53
5/16/2012,92.78
5/15/2012,93.97
5/14/2012,94.75
5/11/2012,96.03
5/10/2012,97.1
5/9/2012,96.8
5/8/2012,97.13
5/7/2012,97.86
5/4/2012,98.49
5/3/2012,102.56
5/2/2012,105.25
5/1/2012,106.17
4/30/2012,104.89
4/27/2012,104.86
4/26/2012,104.56
4/25/2012,103.72
4/24/2012,103.1
4/23/2012,102.68
4/20/2012,103.58
4/19/2012,102.38
4/18/2012,102.65
4/17/2012,104.23
4/16/2012,102.92
4/13/2012,102.84
4/12/2012,103.69
4/11/2012,102.66
4/10/2012,101.12
4/9/2012,102.45
4/5/2012,103.29
4/4/2012,101.53
4/3/2012,104.02
4/2/2012,105.25
3/30/2012,103.03
3/29/2012,102.79
3/28/2012,105.4
3/27/2012,107.32
3/26/2012,107.07
3/23/2012,106.43
3/22/2012,104.98
3/21/2012,106.87
3/20/2012,105.68
3/19/2012,108.09
3/16/2012,107.03
3/15/2012,105.19
3/14/2012,105.49
3/13/2012,106.7
3/12/2012,106.34
3/9/2012,107.4
3/8/2012,106.65
3/7/2012,106.16
3/6/2012,104.71
3/5/2012,106.7
3/2/2012,106.68
3/1/2012,108.76
2/29/2012,107.08
2/28/2012,106.59
2/27/2012,108.49
2/24/2012,109.39
2/23/2012,107.44
2/22/2012,105.99
2/21/2012,105.88
2/17/2012,103.27
2/16/2012,102.33
2/15/2012,101.82
2/14/2012,100.82
2/13/2012,100.39
2/10/2012,98.68
2/9/2012,99.88
2/8/2012,98.8
2/7/2012,98.55
2/6/2012,96.89
2/3/2012,97.8
2/2/2012,96.36
2/1/2012,97.63
